"Domain size" "MLUP/s" "FMLUP/s" "Fluid" "Boundary total" "Boundary no-slip" "Boundary acceleration" "Runtime total [ms]" "Runtime fluid [ms]"
20 2.10438 1.66448 0.921664 0.0783357 0.0550296 0.023306 3.80159 3.50379
30 2.03948 1.759 0.942682 0.0573178 0.0410087 0.0163091 13.2386 12.4798
40 2.01663 1.81099 0.95473 0.0452702 0.0334367 0.0118335 31.7361 30.2994
50 2.00227 1.84208 0.961675 0.0383248 0.028897 0.00942782 62.4291 60.0365
60 1.98519 1.85509 0.966646 0.0333542 0.0256052 0.00774904 108.806 105.177
70 1.97875 1.86815 0.970985 0.0290155 0.0223352 0.00668032 173.342 168.312
80 1.97367 1.87717 0.974508 0.0254917 0.0197086 0.00578309 259.415 252.802
90 1.97225 1.88645 0.977321 0.0226794 0.0175495 0.00512988 369.629 361.246
100 1.95536 1.87885 0.979519 0.0204809 0.015823 0.00465788 511.415 500.94
110 1.94578 1.87623 0.981526 0.0184738 0.0141749 0.00429897 684.044 671.407
120 1.94172 1.87766 0.98327 0.0167298 0.0129145 0.00381528 889.931 875.043
