"Domain size" "MLUP/s" "FMLUP/s" "Fluid" "Boundary total" "Boundary no-slip" "Boundary acceleration" "Runtime total [ms]" "Runtime fluid [ms]"
20 1.28444 0.984824 0.950788 0.0492118 0.0343524 0.0148594 6.22838 5.92187
30 1.28616 1.08512 0.96367 0.0363302 0.0261719 0.0101583 20.9928 20.2301
40 1.25701 1.10902 0.971786 0.0282145 0.0208205 0.00739395 50.9146 49.4781
50 1.24534 1.12876 0.976109 0.0238911 0.0180373 0.00585388 100.375 97.9764
60 1.23982 1.14367 0.979233 0.0207669 0.0159627 0.00480424 174.219 170.601
70 1.23402 1.15204 0.981946 0.0180539 0.0139309 0.00412299 277.953 272.935
80 1.22576 1.15439 0.98416 0.01584 0.0122374 0.00360267 417.701 411.084
90 1.22638 1.16275 0.985963 0.0140369 0.0108689 0.00316805 594.433 586.089
100 1.21294 1.15631 0.987282 0.0127178 0.00980904 0.00290873 824.444 813.959
110 1.20573 1.15432 0.988589 0.0114106 0.00880254 0.00260805 1103.9 1091.3
120 1.20725 1.15996 0.9896 0.0104003 0.00804299 0.00235735 1431.35 1416.46
